Ano,Trimestre,Categoria,Tipo,CNPJ IF,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,Quantidade total de clientes  CCS e SCR,Quantidade de clientes  CCS,Quantidade de clientes  SCR,Unnamed: 14
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,PINE (conglomerado), ,1,5,3,9,50060,11777,39030,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,PORTO SEGURO (conglomerado),"41,51",123,106,89,318,2962999,13010,2962817,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,01800019,"PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","286,17",34,31,19,84,118808,2234,116575,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,01722480,QUERO-QUERO VERDECARD INSTITUIÇÃO DE PAGAMENTO S.A., ,6,12,2,20,388826, ,388826,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,27351731,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,18,67,43,128,5730050,14322,5729574,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,RECARGAPAY (conglomerado),"7,64",59,66,15,140,7714549,7712803,24547,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,RENDIMENTO (conglomerado), ,13,19,2,34,242571,238738,6785,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,65697260,REPOM S.A., ,9,3,0,12,269770,269768,4,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,RODOBENS (conglomerado), ,2,9,4,15,21663,1553,20485,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,06249129,"RPW S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO", ,0,1,0,1,14817,3,14814,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SAFRA (conglomerado),"59,27",332,532,223,1087,5601301,2066353,3913535,
2022,3º,"Top 15 - Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SANTANDER (conglomerado),"28,54",1740,3409,1463,6612,60961566,54709213,25435633,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,00122327,"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS", ,1,4,0,5,11605,465,11140,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SCANIA (conglomerado), ,1,0,0,1,5399,4433,5354,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SENFF (conglomerado), ,8,10,8,26,263286,159789,108625,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,05503849,"SF3 CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.", ,1,2,1,4,31739,1296,30445,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,38372267,SHPP BRASIL INSTITUIÇÃO DE PAGAMENTO E SERVIÇOS DE PAGAMENTOS LTDA., ,5,2,7,14,0,0,0,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SICREDI (conglomerado), ,0,4,5,9,7148115,7126236,210908,
2022,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Conglomerado, ,SIMPALA (conglomerado), ,1,0,0,1,4670,27,4644,
