Segmento_x,CNPJ,Nome_x,employer_name,reviews_count,culture_count,salaries_count,benefits_count,employer-website,employer-headquarters,employer-founded,employer-industry,employer-revenue,url,Geral,Cultura e valores,Diversidade e inclusÃ£o,Qualidade de vida,Alta lideranÃ§a,RemuneraÃ§Ã£o e benefÃ­cios,Oportunidades de carreira,Recomendam para outras pessoas(%),Perspectiva positiva da empresa(%),Nome_y,match_percent,Segmento_y,Ano,Trimestre,Categoria,Tipo,Instituição financeira,Índice,Quantidade de reclamações reguladas procedentes,Quantidade de reclamações reguladas - outras,Quantidade de reclamações não reguladas,Quantidade total de reclamações,quantidade_total_clientes_ccs_scr,quantidade_clientes_ccs,quantidade_clientes_scr,Unnamed: 14
S4,411939.0,FINAMAX S.A. CFI,,,,,,,,,,,,,,,,,,,,,,,,2021.0,1º,Grupo Secundário,Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0.0,2.0,3.0,5.0,0.0,0.0,0.0,
S4,411939.0,FINAMAX S.A. CFI,,,,,,,,,,,,,,,,,,,,,,,,2021.0,2º,Demais bancos e financeiras,Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0.0,2.0,4.0,6.0,0.0,0.0,0.0,
S4,411939.0,FINAMAX S.A. CFI,,,,,,,,,,,,,,,,,,,,,,,,2021.0,3º,Demais bancos e financeiras,Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0.0,1.0,4.0,5.0,0.0,0.0,0.0,
S4,411939.0,FINAMAX S.A. CFI,,,,,,,,,,,,,,,,,,,,,,,,2021.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,0.0,3.0,6.0,9.0,0.0,0.0,0.0,
S4,411939.0,FINAMAX S.A. CFI,,,,,,,,,,,,,,,,,,,,,,,,2022.0,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,1.0,0.0,1.0,2.0,0.0,0.0,0.0,
S4,411939.0,FINAMAX S.A. CFI,,,,,,,,,,,,,,,,,,,,,,,,2022.0,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,1.0,4.0,4.0,9.0,0.0,0.0,0.0,
S4,411939.0,FINAMAX S.A. CFI,,,,,,,,,,,,,,,,,,,,,,,,2022.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO", ,1.0,1.0,1.0,3.0,0.0,0.0,0.0,
S4,416968.0,INTERMEDIUM - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,429890.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DE CAMPOS ALTOS LTDA - SICOOB CREDIAGRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S4,460065.0,COLUNA S.A. DTVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,512839.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS SERVIDORES DO SEMASA - SICOOB CECRESA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S4,517645.0,BANCO RIBEIR�O PRETO - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2021.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO RIBEIRAO PRETO S.A., ,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
S4,517645.0,BANCO RIBEIR�O PRETO - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO RIBEIRAO PRETO S.A., ,2.0,0.0,0.0,2.0,0.0,0.0,0.0,
S4,517645.0,BANCO RIBEIR�O PRETO - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO RIBEIRAO PRETO S.A., ,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
S4,543968.0,COOPERATIVA CENTRAL DE ECONOMIA E CR�DITO M�TUO DAS UNICRED�S DE SANTA CATARINA E DO PARAN� LTDA � UNICRED CENTRAL SC/PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,548980.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS FUNCION�RIOS DO GRUPO SUGGAR LTDA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S4,556603.0,BARIGUI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S3,655522.0,APE POUPEX,Apex Group,450.0,281.0,592.0,74.0,http://www.apexgroup.com,"Hamilton, Bermuda",2003.0,"/Explorar/melhores-gestÃ£o-de-ativos-e-investimentos-empresas_II.9,41_IIND200146.htm",Mais de US$Â 10 bilhÃµes,"https://www.glassdoor.com.br/Vis%C3%A3o-geral/Trabalhar-na-Apex-Group-EI_IE764729.13,23.htm",3.2,2.9,3.5,3.0,2.9,2.7,3.2,52.0,53.0,APE POUPEX,70.0,,,,,,,,,,,,0.0,0.0,0.0,
S4,692214.0,CENTRAL DAS COOPERATIVAS DE ECONOMIA E CR�DITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,694389.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DE ASSOCIADOS S�O JOS� DO CERRITO - SICOOB CREDICARU SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,694877.0,"COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS SERVIDORES DO PODER EXECUTIVO FEDERAL, DOS SERVIDORES DA SECRETARIA DE SA�DE E DOS TRABALHADORES EM ENSINO DO DISTRITO FEDERAL LTDA.   SICOOB EXECUTIVO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,698609.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DO NOROESTE DE MINAS LTDA. SICOOB CREDIPARNOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,707903.0,COOPERATIVA DE CR�DITO VALE DO CANOAS - SICOOB/SC CREDICANOAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
,714671.0,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A., ,4.0,0.0,5.0,9.0,0.0,0.0,0.0,
,714671.0,,,,,,,,,,,,,,,,,,,,,,,,,2022.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,EWALLY INSTITUIÇÃO DE PAGAMENTO S.A., ,2.0,2.0,1.0,5.0,0.0,0.0,0.0,
S5,731320.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS FUNCION�RIOS DA MORLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,778858.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS SERVIDORES DO DISTRITO FEDERAL LTDA. - COOSERVCRED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S4,795423.0,BANCO SEMEAR - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2021.0,1º,Grupo Secundário,Banco/financeira,BANCO SEMEAR S.A., ,4.0,0.0,1.0,5.0,0.0,0.0,0.0,
S4,795423.0,BANCO SEMEAR - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2021.0,2º,Demais bancos e financeiras,Banco/financeira,BANCO SEMEAR S.A., ,3.0,4.0,2.0,9.0,0.0,0.0,0.0,
S4,795423.0,BANCO SEMEAR - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2021.0,3º,Demais bancos e financeiras,Banco/financeira,BANCO SEMEAR S.A., ,2.0,2.0,0.0,4.0,0.0,0.0,0.0,
S4,795423.0,BANCO SEMEAR - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2021.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO SEMEAR S.A., ,5.0,2.0,2.0,9.0,0.0,0.0,0.0,
S4,795423.0,BANCO SEMEAR - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,1º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO SEMEAR S.A., ,0.0,2.0,1.0,3.0,0.0,0.0,0.0,
S4,795423.0,BANCO SEMEAR - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,3º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO SEMEAR S.A., ,4.0,14.0,2.0,20.0,0.0,0.0,0.0,
S4,795423.0,BANCO SEMEAR - PRUDENCIAL,,,,,,,,,,,,,,,,,,,,,,,,2022.0,4º,"Demais Bancos, Financeiras e Instituições de Pagamento",Banco/financeira,BANCO SEMEAR S.A., ,0.0,5.0,2.0,7.0,0.0,0.0,0.0,
S5,803287.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DE VAZANTE LTDA. - SICOOB CREDIVAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,804046.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DE CAPIT�LIO LTDA   SICOOB CREDICAPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S4,806535.0,PLANNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,815319.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O SUL-SERRANA DO ESP�RITO SANTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,869687.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DE BOA ESPERAN�A LTDA. - SICOOB BELCREDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,881829.0,COOPERATIVA DE CR�DITO M�TUO DOS SERVIDORES P�BLICOS MUNICIPAIS DE JABOTICABAL - COOPERSERV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,913314.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS EMPREGADOS DA MAGNESITA REFRAT�RIOS S.A. LTDA. - CECREM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,915950.0,"COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS SERV. MUNICIPAIS DE S�O PAULO E MAU�, SERV. P�BLICOS, EMPRES�RIOS E PROF. LIBERAIS DA REGI�O METROP. OESTE DA CAPITAL DE S�O PAULO   SICOOB COOPERCREDI-SP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,946465.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS SERVIDORES DA PREFEITURA MUNICIPAL DE ORL�NDIA - CRED SERV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,952415.0,COOPERATIVA DE CR�DITO DO SERVIDOR FEDERAL LTDA   SICOOB CREDFAZ SERVIDOR FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S4,966246.0,COOPERATIVA DE CR�DITO DE LIVRE ADMISS�O DE ITA�-PARANAPANEMA-AVAR�,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,968602.0,COOPERATIVA DE CREDITO DE LIVRE ADMISS�O DO VALE DO S�O PATRICIO LTDA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,968834.0,COOPERATIVA DE ECONOMIA E CR�DITO M�TUO DOS EMPREGADOS DA VALE FERTILIZANTES S/A - COCRESGO LTDA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,971297.0,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE MARMELEIRO - CRESOL MARMELEIRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,971300.0,COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE DOIS VIZINHOS - CRESOL DOIS VIZINHOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
S5,977212.0,COOPERATIVA DE CR�DITO DOS EMPREGADOS DO GRUPO COPERSUCAR E CTC - UNICOPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
